galaxy_id,J0378,error_J0378,J0395,error_J0395,J0410,error_J0410,J0430,error_J0430,J0515,error_J0515,J0660,error_J0660,J0861,error_J0861,uJAVA,error_uJAVA,gSDSS,error_gSDSS,rSDSS,error_rSDSS,iSDSS,error_iSDSS,zSDSS,error_zSDSS,redshift
487,1.1758e-40,8.66e-43,1.5586e-40,1.292e-42,2.0698e-40,1.143e-42,2.6202e-40,1.448e-42,1.1736e-39,4.324e-42,4.1758e-39,1.923e-41,1.149e-38,2.1167e-41,7.1112e-41,3.28e-43,6.9942e-40,1.288e-42,3.3323e-39,3.069e-42,7.4669e-39,6.878e-42,1.355e-38,1.248e-41,0.021
488,3.2791e-40,3.322e-42,4.8456e-40,4.909e-42,7.1408e-40,4.603e-42,9.5796e-40,6.176e-42,4.4071e-39,2.0295e-41,2.1035e-38,9.6872e-41,7.2402e-38,1.3337e-40,1.8237e-40,1.176e-42,2.607e-39,4.802e-42,1.609e-38,1.4819e-41,4.283e-38,3.9448e-41,8.5773e-38,7.9e-41,0.021
489,8.0675e-40,1.1889e-41,1.1459e-39,1.7942e-41,1.5316e-39,1.5517e-41,1.973e-39,1.999e-41,8.0823e-39,5.9552e-41,2.9426e-38,2.1682e-40,8.1122e-38,3.7358e-40,4.681e-40,5.174e-42,4.9197e-39,1.8124e-41,2.3591e-38,1.4674e-40,5.3105e-38,1.4674e-40,9.4175e-38,1.7348e-40,0.021
490,2.4092e-40,1.997e-42,3.4888e-40,3.534e-42,4.8874e-40,3.152e-42,6.1813e-40,3.985e-42,2.7282e-39,1.2564e-41,1.1238e-38,4.1401e-41,3.1701e-38,8.7594e-41,1.2299e-40,7.93e-43,1.65e-39,3.04e-42,8.9018e-39,8.199e-42,2.06e-38,1.8974e-41,3.7177e-38,3.4241e-41,0.021
491,1.3372e-40,4.927e-42,2.0711e-40,7.82e-42,2.8748e-40,6.885e-42,3.7516e-40,9.33e-42,1.6512e-39,2.8896e-41,7.0568e-39,1.1049e-40,1.9472e-38,1.7935e-40,6.7083e-41,1.916e-42,1.0051e-39,7.406e-42,5.5184e-39,2.5413e-41,1.2818e-38,7.0833e-41,2.3132e-38,1.0653e-40,0.021
492,3.219e-42,2.23e-43,5.054e-42,3.63e-43,6.5e-42,3.35e-43,8.244e-42,4.25e-43,4.7002e-41,1.342e-42,2.3298e-40,6.223e-42,8.915e-40,1.1495e-41,1.721e-42,9.5e-44,2.6214e-41,3.62e-43,1.787e-40,1.647e-42,5.0644e-40,3.732e-42,1.1049e-39,7.124e-42,0.021
493,2.0724e-41,1.53e-43,3.5718e-41,2.96e-43,5.5015e-41,2.54e-43,7.3397e-41,3.38e-43,4.314e-40,1.193e-42,3.0066e-39,5.538e-42,1.1326e-38,1.0431e-41,8.251e-42,5.3e-44,2.578e-40,2.37e-43,2.2391e-39,2.063e-42,6.5899e-39,6.069e-42,1.4128e-38,1.3012e-41,0.021
494,3.2023e-40,1.18e-42,4.1405e-40,1.526e-42,5.2803e-40,1.459e-42,6.6108e-40,1.827e-42,2.8071e-39,5.171e-42,8.885e-39,1.6367e-41,2.3958e-38,2.2066e-41,2.0637e-40,3.8e-43,1.6713e-39,1.54e-42,7.169e-39,6.603e-42,1.5554e-38,1.4327e-41,2.7737e-38,2.5547e-41,0.021
495,2.8011e-40,4.128e-42,3.6926e-40,5.782e-42,4.8276e-40,4.89e-42,5.9611e-40,6.04e-42,2.7273e-39,2.0095e-41,9.0976e-39,6.7034e-41,2.4329e-38,1.1204e-40,1.7208e-40,1.743e-42,1.5986e-39,4.417e-42,7.2867e-39,2.0134e-41,1.6045e-38,4.4333e-41,2.8506e-38,1.743e-42,0.021
496,3.7458e-40,1.104e-41,5.68e-40,1.6741e-41,7.1113e-40,1.6374e-41,8.6606e-40,1.9942e-41,3.8295e-39,5.9962e-41,1.4098e-38,2.2074e-40,3.8685e-38,3.5631e-40,2.2759e-40,4.82e-42,2.3332e-39,1.5043e-41,1.1323e-38,6.2571e-41,2.5677e-38,1.1825e-40,4.5493e-38,2.0951e-40,0.021
497,5.2459e-41,4.83e-43,8.3603e-41,8.46e-43,1.169e-40,7.54e-43,1.5297e-40,9.87e-43,7.0765e-40,3.26e-42,3.4152e-39,1.2582e-41,1.0506e-38,1.9352e-41,2.6099e-41,1.92e-43,4.2837e-40,7.89e-43,2.6389e-39,2.43e-42,6.5982e-39,6.077e-42,1.2572e-38,1.158e-41,0.021
498,1.6499e-41,2.73e-43,2.29e-41,4.22e-43,2.9502e-41,3.53e-43,3.663e-41,4.39e-43,1.8631e-40,1.544e-42,7.255e-40,5.346e-42,2.2276e-39,5.346e-42,9.572e-42,1.06e-43,1.079e-40,3.98e-43,5.7258e-40,1.582e-42,1.3799e-39,3.813e-42,2.6708e-39,7.379e-42,0.021
499,1.164e-40,2.358e-42,1.7265e-40,3.657e-42,2.392e-40,3.084e-42,3.0476e-40,3.929e-42,1.4695e-39,1.3535e-41,7.0011e-39,5.1586e-41,2.1516e-38,9.9086e-41,5.9042e-41,8.7e-43,8.9364e-40,3.292e-42,5.4849e-39,1.5155e-41,1.3451e-38,3.7168e-41,2.5655e-38,4.7257e-41,0.021
500,4.8807e-40,3.596e-42,6.9708e-40,6.421e-42,9.5693e-40,6.17e-42,1.2838e-39,7.095e-42,5.2733e-39,1.9428e-41,2.0402e-38,7.5166e-41,5.977e-38,1.101e-40,2.7982e-40,1.547e-42,3.1716e-39,5.842e-42,1.5999e-38,1.4735e-41,3.7643e-38,3.467e-41,6.8815e-38,1.547e-42,0.021
501,2.8819e-40,1.8315e-41,4.9395e-40,3.1846e-41,6.0937e-40,2.8624e-41,8.6076e-40,3.8054e-41,3.9345e-39,1.1234e-40,1.7365e-38,4.6383e-40,5.0267e-38,7.8706e-40,1.4037e-40,6.593e-42,2.362e-39,3.0457e-41,1.3705e-38,3.0457e-41,3.318e-38,3.0457e-41,5.966e-38,4.3959e-40,0.021
502,9.8553e-40,5.447e-42,1.2626e-39,9.303e-42,1.5822e-39,8.744e-42,1.9163e-39,8.825e-42,8.2578e-39,3.0424e-41,2.3576e-38,8.6857e-41,5.6399e-38,1.5584e-40,6.3748e-40,2.349e-42,4.9121e-39,9.048e-42,1.9358e-38,1.783e-41,3.8911e-38,3.5838e-41,6.4993e-38,5.986e-41,0.021
503,4.739e-42,1.96e-43,6.707e-42,3.46e-43,1.0002e-41,2.76e-43,1.2593e-41,3.6e-43,6.5181e-41,1.201e-42,3.3001e-40,5.47e-42,1.1203e-39,1.0318e-41,2.487e-42,7.3e-44,3.8488e-41,3.2e-43,2.5312e-40,1.398e-42,6.8317e-40,3.146e-42,1.3936e-39,7.3e-44,0.021
504,6.9587e-40,2.2432e-41,9.2327e-40,3.2314e-41,1.2015e-39,2.7666e-41,1.5196e-39,3.7789e-41,7.062e-39,1.1057e-40,2.6652e-38,3.9275e-40,7.581e-38,6.9824e-40,4.2867e-40,9.08e-42,4.1969e-39,2.7059e-41,2.1268e-38,1.1753e-40,4.8992e-38,2.2562e-40,8.9069e-38,4.1018e-40,0.021
505,3.0873e-40,1.6492e-41,4.2735e-40,2.4797e-41,5.9427e-40,2.2988e-41,7.0922e-40,2.8088e-41,3.1797e-39,8.4928e-41,1.2393e-38,2.9678e-40,3.4545e-38,4.7725e-40,1.8966e-40,6.114e-42,1.923e-39,2.1253e-41,9.6824e-39,8.0261e-41,2.2079e-38,1.8302e-40,4.0887e-38,3.0127e-40,0.021
506,6.2417e-40,5.174e-42,9.0137e-40,8.301e-42,1.2569e-39,6.946e-42,1.6327e-39,9.023e-42,7.0162e-39,2.5848e-41,2.9195e-38,1.0756e-40,8.6239e-38,1.5886e-40,3.5392e-40,2.281e-42,4.259e-39,7.846e-42,2.2767e-38,2.0969e-41,5.4313e-38,5.0024e-41,1.0104e-37,9.3063e-41,0.021
507,2.483e-40,2.515e-42,3.7134e-40,4.104e-42,5.2987e-40,3.904e-42,6.7138e-40,4.947e-42,3.2822e-39,1.5116e-41,1.5566e-38,5.7347e-41,4.6792e-38,8.6194e-41,1.2852e-40,9.47e-43,1.9778e-39,3.643e-42,1.2005e-38,1.1058e-41,2.9633e-38,2.7293e-41,5.6101e-38,9.47e-43,0.021
508,1.9401e-40,2.501e-42,2.6414e-40,4.379e-42,3.6193e-40,3.667e-42,4.8554e-40,4.919e-42,1.8942e-39,1.3957e-41,6.8459e-39,5.0443e-41,1.8734e-38,8.6272e-41,1.1103e-40,1.228e-42,1.1583e-39,3.2e-42,5.463e-39,1.5095e-41,1.2129e-38,3.3513e-41,2.1411e-38,5.916e-41,0.021
509,3.6947e-40,5.105e-42,4.9248e-40,7.711e-42,6.0924e-40,7.295e-42,7.6275e-40,8.43e-42,3.4897e-39,2.8927e-41,1.2022e-38,8.8583e-41,3.1709e-38,1.4603e-40,2.1837e-40,1.81e-42,2.0873e-39,5.768e-42,9.5672e-39,2.6435e-41,2.0835e-38,5.7568e-41,3.7016e-38,6.8186e-41,0.021
510,7.2517e-40,1.7366e-41,9.6392e-40,2.4859e-41,1.1936e-39,2.4185e-41,1.4971e-39,2.6199e-41,6.0373e-39,7.7848e-41,1.7284e-38,2.547e-40,4.3176e-38,4.3743e-40,4.9073e-40,7.683e-42,3.6011e-39,1.9901e-41,1.4231e-38,6.5537e-41,2.9271e-38,1.348e-40,4.9664e-38,2.2871e-40,0.021
511,4.449e-42,3.2e-44,7.514e-42,6.2e-44,1.1383e-41,6.3e-44,1.5741e-41,7.3e-44,9.4851e-41,2.62e-43,7.2217e-40,1.33e-42,3.0412e-39,2.801e-42,1.874e-42,1.3e-44,5.6059e-41,5.2e-44,5.2752e-40,4.86e-43,1.6852e-39,1.553e-42,3.8854e-39,0.0,0.021
512,2.0131e-40,5.377e-42,2.5767e-40,8.069e-42,3.3072e-40,7.31e-42,4.2254e-40,8.562e-42,1.8598e-39,2.5694e-41,6.0348e-39,8.8933e-41,1.5598e-38,1.5803e-40,1.2655e-40,2.214e-42,1.1012e-39,7.1e-42,4.7981e-39,2.2096e-41,1.0249e-38,4.7197e-41,1.8191e-38,8.3775e-41,0.021
513,8.7459e-41,7.33e-42,1.4568e-40,1.154e-41,2.1488e-40,1.0688e-41,2.8068e-40,1.396e-41,1.4119e-39,5.0716e-41,7.8164e-39,1.9438e-40,2.8616e-38,3.9534e-40,4.4814e-41,2.601e-42,8.2453e-40,1.215e-41,5.9842e-39,4.9605e-41,1.6711e-38,1.2313e-40,3.4435e-38,2.2201e-40,0.021
514,2.3958e-41,2.361e-42,3.6902e-41,4.146e-42,6.2035e-41,3.886e-42,8.7306e-41,4.825e-42,4.603e-40,1.7382e-41,3.2587e-39,9.004e-41,1.2208e-38,1.799e-40,1.007e-41,7.61e-43,2.8539e-40,4.469e-42,2.488e-39,2.0623e-41,7.4036e-39,5.4551e-41,1.5497e-38,9.9911e-41,0.021
515,1.6956e-40,3.123e-42,2.3841e-40,5.27e-42,3.4908e-40,4.823e-42,4.6529e-40,5.572e-42,2.1445e-39,1.9751e-41,1.0369e-38,7.6399e-41,3.5524e-38,1.3088e-40,9.0808e-41,1.254e-42,1.2803e-39,4.717e-42,7.8727e-39,2.1754e-41,2.0937e-38,3.8568e-41,4.2123e-38,7.7594e-41,0.021
516,1.8457e-40,8.5e-43,2.6925e-40,1.488e-42,3.7893e-40,1.047e-42,4.8816e-40,1.35e-42,2.3777e-39,4.38e-42,1.1204e-38,2.0638e-41,3.3928e-38,3.1249e-41,9.3359e-41,3.43e-43,1.4301e-39,1.317e-42,8.6808e-39,7.996e-42,2.1466e-38,1.9771e-41,4.0715e-38,3.75e-41,0.021
