galaxy_id,J0378,error_J0378,J0395,error_J0395,J0410,error_J0410,J0430,error_J0430,J0515,error_J0515,J0660,error_J0660,J0861,error_J0861,uJAVA,error_uJAVA,gSDSS,error_gSDSS,rSDSS,error_rSDSS,iSDSS,error_iSDSS,zSDSS,error_zSDSS,redshift
1,3.171E-42,1.02E-43,5.4E-42,1.74E-43,7.871E-42,1.67E-43,1.2203E-41,2.24E-43,4.4923E-41,5.79E-43,3.6886E-40,3.397E-42,1.6101E-39,7.416E-42,1.576E-42,3.8E-44,2.7496E-41,7.416E-42,2.6234E-40,7.24E-43,8.8159E-40,2.435E-42,1.9058E-39,3.51E-42,0.05
2,6.414E-42,4.8E-44,1.0752E-41,8.0E-44,1.4883E-41,8.3E-44,2.284E-41,1.05E-43,8.6355E-41,2.38E-43,7.0322E-40,1.944E-42,3.0725E-39,2.829E-42,2.875E-42,1.8E-44,5.2954E-41,9.8E-44,5.0337E-40,4.64E-43,1.69E-39,1.557E-42,3.6601E-39,3.372E-42,0.05
3,2.263E-42,2.1E-44,3.784E-42,3.8E-44,5.384E-42,3.5E-44,8.862E-42,4.9E-44,3.6842E-41,1.36E-43,3.2866E-40,9.08E-43,1.512E-39,1.393E-42,1.01E-42,7.0E-45,2.224E-41,1.393E-42,2.316E-40,7.51E-43,8.1572E-40,7.51E-43,1.7978E-39,1.656E-42,0.05
4,8.55E-43,9.8E-45,1.687E-42,2.24E-44,2.386E-42,2.0E-44,4.282E-42,2.8E-44,2.2642E-41,1.04E-43,2.1034E-40,5.82E-43,1.1506E-39,1.06E-42,3.74E-43,4.2E-45,1.3113E-41,2.4E-44,1.4741E-40,1.36E-43,5.9011E-40,5.44E-43,1.4E-39,1.289E-42,0.05
5,6.924E-42,3.12E-43,1.0644E-41,5.5E-43,1.3625E-41,4.76E-43,2.0152E-41,6.3E-43,7.9934E-41,1.767E-42,5.4744E-40,9.076E-42,1.8825E-39,1.9072E-41,4.79E-42,1.54E-43,4.9242E-41,4.54E-43,3.897E-40,2.154E-42,1.126E-39,5.185E-42,2.1554E-39,9.925E-42,0.05
6,8.158E-42,7.6E-44,1.1946E-41,1.2E-43,1.4243E-41,9.2E-44,2.0875E-41,1.35E-43,6.6499E-41,3.67E-43,4.2738E-40,1.575E-42,1.2978E-39,2.39E-42,5.738E-42,3.2E-44,4.3213E-41,8.0E-44,3.1075E-40,2.86E-43,8.1361E-40,7.5E-43,1.4629E-39,1.348E-42,0.05
7,2.948E-42,2.24E-44,4.04E-42,3.4E-44,4.942E-42,3.2E-44,6.936E-42,3.8E-44,2.0097E-41,9.2E-44,1.211E-40,4.46E-43,3.2714E-40,9.04E-43,2.08E-42,9.8E-45,1.3241E-41,2.4E-44,8.9029E-41,8.3E-44,2.1278E-40,1.96E-43,3.6369E-40,3.35E-43,0.05
8,8.842E-42,3.34E-43,1.7432E-41,6.42E-43,2.3931E-41,5.07E-43,4.2791E-41,7.89E-43,2.0557E-40,2.46E-42,1.5323E-39,1.2703E-41,5.9946E-39,2.7606E-41,5.487E-42,1.26E-43,1.2172E-40,6.73E-43,1.0778E-39,2.978E-42,3.4686E-39,9.583E-42,6.9848E-39,1.93E-41,0.05
9,7.89E-43,2.4E-44,1.529E-42,4.3E-44,2.295E-42,4.2E-44,4.278E-42,5.5E-44,2.4615E-41,2.05E-43,2.3572E-40,1.303E-42,1.3366E-39,2.462E-42,3.24E-43,7.0E-45,1.4112E-41,5.2E-44,1.6474E-40,3.04E-43,6.7982E-40,1.253E-42,1.6263E-39,1.498E-42,0.05
10,1.3415E-40,5.807E-42,1.706E-40,8.956E-42,2.2018E-40,8.112E-42,2.7617E-40,1.0175E-41,7.3786E-40,2.1067E-41,4.3011E-39,1.0696E-40,1.1738E-38,1.7297E-40,9.835E-41,2.536E-42,5.0907E-40,6.564E-42,3.3264E-39,2.451E-41,7.7406E-39,6.4164E-41,1.2989E-38,9.5707E-41,0.05
11,3.237E-42,1.37E-43,5.283E-42,1.95E-43,6.3E-42,1.92E-43,9.207E-42,2.45E-43,3.1255E-41,6.33E-43,1.9522E-40,3.056E-42,5.9172E-40,5.45E-42,2.363E-42,5.6E-44,1.9793E-41,1.82E-43,1.4181E-40,7.83E-43,3.7164E-40,1.711E-42,6.6822E-40,3.077E-42,0.05
12,3.159E-42,3.4E-43,8.0E-42,6.78E-43,1.1681E-41,6.24E-43,2.2401E-41,1.01E-42,1.1383E-40,3.355E-42,9.8781E-40,1.8196E-41,4.1065E-39,3.7822E-41,2.019E-42,1.3E-43,6.9867E-41,7.72E-43,6.6723E-40,4.302E-42,2.2987E-39,1.2703E-41,4.8292E-39,2.2239E-41,0.05
13,3.1E-43,7.0E-45,5.68E-43,1.3E-44,8.07E-43,1.1E-44,1.377E-42,1.8E-44,6.562E-42,4.9E-44,6.308E-41,2.9E-43,3.2351E-40,5.96E-43,1.37E-43,2.8E-45,3.886E-42,1.4E-44,4.3681E-41,8.0E-44,1.6838E-40,1.56E-43,3.8966E-40,3.59E-43,0.05
14,4.816E-42,2.13E-43,7.071E-42,3.25E-43,9.034E-42,3.17E-43,1.3106E-41,4.1E-43,4.6205E-41,1.064E-42,3.2741E-40,6.031E-42,1.2402E-39,1.1423E-41,2.361E-42,8.3E-44,2.9614E-41,1.1423E-41,2.3763E-40,1.313E-42,7.1432E-40,3.947E-42,1.4332E-39,6.6E-42,0.05
15,4.67E-43,4.2E-45,1.045E-42,8.4E-45,1.434E-42,8.4E-45,2.712E-42,1.3E-44,1.3402E-41,3.6E-44,9.3925E-41,1.72E-43,3.5941E-40,3.31E-43,3.1E-43,1.4E-45,7.958E-42,7.0E-45,6.6556E-41,6.2E-44,2.1105E-40,1.95E-43,4.1455E-40,3.81E-43,0.05
16,2.5331E-41,2.1E-43,3.5063E-41,3.22E-43,4.294E-41,2.37E-43,6.1895E-41,3.42E-43,1.8132E-40,8.35E-43,1.1222E-39,4.134E-42,3.2304E-39,5.95E-42,1.8419E-41,1.02E-43,1.198E-40,2.2E-43,8.2348E-40,7.58E-43,2.0704E-39,1.907E-42,3.6446E-39,3.358E-42,0.05
17,5.3363E-41,3.45E-43,7.1917E-41,6.63E-43,8.8804E-41,5.73E-43,1.2304E-40,6.8E-43,3.439E-40,1.583E-42,2.04E-39,7.515E-42,5.4908E-39,1.0115E-41,3.8623E-41,1.78E-43,2.2974E-40,4.23E-43,1.5109E-39,1.391E-42,3.5945E-39,3.311E-42,6.1325E-39,5.649E-42,0.05
18,5.6013E-41,2.064E-42,8.1487E-41,3.527E-42,1.13E-40,3.122E-42,1.6364E-40,3.918E-42,5.7001E-40,1.1025E-41,3.271E-39,4.8203E-41,9.6268E-39,7.98E-41,3.6769E-41,9.15E-43,3.6131E-40,2.662E-42,2.4092E-39,1.1095E-41,6.1078E-39,2.8127E-41,1.0952E-38,4.0348E-41,0.05
19,3.48E-43,4.2E-45,6.78E-43,7.0E-45,9.29E-43,7.0E-45,1.659E-42,9.8E-45,8.708E-42,3.2E-44,7.3637E-41,1.36E-43,3.6166E-40,3.34E-43,1.82E-43,1.4E-45,5.039E-42,9.8E-45,5.1321E-41,4.8E-44,1.9315E-40,1.78E-43,4.3281E-40,3.98E-43,0.05
20,4.8195E-41,4.44E-43,7.122E-41,7.22E-43,8.9002E-41,6.56E-43,1.2924E-40,8.34E-43,4.0087E-40,2.215E-42,2.6436E-39,9.739E-42,8.1246E-39,2.2449E-41,3.1463E-41,2.03E-43,2.605E-40,4.79E-43,1.924E-39,1.773E-42,5.0793E-39,4.678E-42,9.2258E-39,8.497E-42,0.05
21,5.361E-42,6.22E-43,9.729E-42,9.4E-43,1.0473E-41,8.4E-43,1.9164E-41,1.253E-42,7.6292E-41,3.513E-42,6.6203E-40,1.8902E-41,2.5147E-39,3.9374E-41,2.424E-42,2.17E-43,4.5633E-41,8.83E-43,4.443E-40,1.1918E-41,1.4377E-39,1.1918E-41,2.9983E-39,2.2093E-41,0.05
22,3.0299E-41,2.623E-42,5.1835E-41,4.488E-42,6.3245E-41,3.727E-42,9.4065E-41,4.764E-42,3.6494E-40,1.3109E-41,2.4134E-39,6.4461E-41,8.2684E-39,1.1423E-40,2.1293E-41,1.099E-42,2.2857E-40,3.369E-42,1.7339E-39,4.1223E-41,4.9731E-39,4.1223E-41,9.5197E-39,6.1375E-41,0.05
23,9.666E-42,1.33E-43,1.5735E-41,2.17E-43,2.059E-41,2.09E-43,3.1716E-41,2.63E-43,1.1871E-40,7.65E-43,8.9223E-40,4.109E-42,3.6448E-39,6.714E-42,5.2E-42,5.3E-44,7.3668E-41,2.03E-43,6.369E-40,1.173E-42,2.061E-39,1.899E-42,4.2823E-39,3.945E-42,0.05
24,5.0354E-41,7.43E-43,6.8871E-41,1.142E-42,8.5042E-41,1.019E-42,1.1782E-40,1.194E-42,3.148E-40,2.609E-42,1.8588E-39,1.3696E-41,4.8354E-39,2.2268E-41,3.7986E-41,2.8E-43,2.1185E-40,7.8E-43,1.3767E-39,3.805E-42,3.1859E-39,8.803E-42,5.3559E-39,9.867E-42,0.05
25,2.3978E-41,2.65E-43,3.6425E-41,4.36E-43,4.552E-41,3.77E-43,6.8581E-41,5.06E-43,2.4378E-40,1.572E-42,1.7116E-39,7.882E-42,5.7784E-39,1.5966E-41,1.5184E-41,1.12E-43,1.5396E-40,4.26E-43,1.2263E-39,1.13E-42,3.4882E-39,3.213E-42,6.6101E-39,6.089E-42,0.05
26,1.029E-42,1.1E-43,1.239E-42,2.21E-43,1.533E-42,1.84E-43,3.657E-42,2.63E-43,1.5732E-41,8.25E-43,1.5276E-40,5.206E-42,7.7411E-40,1.1408E-41,3.28E-43,4.1E-44,9.205E-42,2.12E-43,1.0356E-40,1.24E-42,3.9665E-40,3.287E-42,9.2471E-40,6.813E-42,0.05
27,4.757E-42,2.19E-43,6.959E-42,3.59E-43,9.839E-42,3.17E-43,1.4274E-41,4.47E-43,4.6403E-41,1.197E-42,3.3063E-40,5.786E-42,1.2295E-39,1.1324E-41,2.34E-42,8.8E-44,2.9988E-41,2.76E-43,2.4151E-40,1.334E-42,7.1473E-40,3.292E-42,1.4353E-39,6.61E-42,0.05
28,6.845E-42,4.09E-43,1.1572E-41,7.45E-43,1.331E-41,7.23E-43,1.7401E-41,8.49E-43,6.3297E-41,2.332E-42,4.315E-40,1.1922E-41,1.4105E-39,2.0787E-41,4.452E-42,2.05E-43,4.2168E-41,5.83E-43,3.1578E-40,2.909E-42,8.5464E-40,7.085E-42,1.5943E-39,1.1747E-41,0.05
29,1.5445E-41,1.57E-43,2.3767E-41,2.62E-43,2.9078E-41,2.14E-43,4.3608E-41,3.21E-43,1.4507E-40,8.02E-43,9.6733E-40,4.455E-42,3.059E-39,8.453E-42,1.0008E-41,7.4E-44,9.2463E-41,1.71E-43,7.04E-40,6.49E-43,1.8931E-39,1.743E-42,3.4735E-39,3.199E-42,0.05
30,2.83E-42,1.06E-43,4.989E-42,1.98E-43,7.065E-42,1.75E-43,1.1513E-41,2.65E-43,5.2141E-41,7.2E-43,4.647E-40,4.28E-42,2.1319E-39,9.817E-42,1.258E-42,3.6E-44,3.0816E-41,1.99E-43,3.2747E-40,9.05E-43,1.1587E-39,1.99E-43,2.5233E-39,3.6E-44,0.05
31,5.03E-43,2.7E-44,1.312E-42,5.7E-44,2.141E-42,5.7E-44,5.161E-42,9.5E-44,4.0178E-41,3.34E-43,4.3933E-40,2.428E-42,2.9214E-39,5.381E-42,1.64E-43,8.4E-45,2.1918E-41,1.01E-43,2.962E-40,5.45E-43,1.4047E-39,2.588E-42,3.6073E-39,3.322E-42,0.05
32,1.303E-42,1.88E-43,2.929E-42,3.64E-43,4.924E-42,3.53E-43,1.0812E-41,5.77E-43,6.2047E-41,2.057E-42,6.0466E-40,1.2252E-41,3.0361E-39,2.5167E-41,6.25E-43,7.0E-44,3.5969E-41,5.63E-43,4.0805E-40,2.63E-42,1.614E-39,5.63E-43,3.6101E-39,7.0E-44,0.05
