ID,J0378,error_J0378,J0395,error_J0395,J0410,error_J0410,J0430,error_J0430,J0515,error_J0515,J0660,error_J0660,J0861,error_J0861,redshift
23,2.40546936E-27,3.10172673E-29,2.75423216E-27,4.05878632E-29,3.77746044E-27,3.82708611E-29,4.08883825E-27,4.14255464E-29,5.67021047E-27,5.74470175E-29,9.99080396E-27,1.10422435E-28,9.79939965E-27,7.22046483E-29,2.83361000000000E-02
24,1.65653298E-27,2.44115728E-29,1.78813524E-27,3.62325351E-29,2.31419472E-27,2.98403285E-29,2.38561148E-27,2.85639786E-29,2.94035654E-27,4.06225209E-29,4.23837284E-27,7.80737092E-29,4.13046761E-27,6.08688233E-29,3.19378000000000E-02
25,2.12226387E-27,3.12748333E-29,2.20596863E-27,4.06354366E-29,2.7064483E-27,3.24055047E-29,2.75169302E-27,3.04128322E-29,3.16227759E-27,4.3688478E-29,4.54988046E-27,7.96212902E-29,4.04016884E-27,5.95381321E-29,3.16887000000000E-02
26,9.42756574E-28,1.99711487E-29,1.02423545E-27,2.54706041E-29,1.48320025E-27,2.32233237E-29,1.6353102E-27,2.40988213E-29,2.42102798E-27,3.79074381E-29,3.86900875E-27,7.48332659E-29,4.06630102E-27,5.61780163E-29,2.98919000000000E-02
27,1.58197523E-27,2.47699011E-29,1.44277864E-27,3.18923557E-29,1.93552782E-27,2.67403035E-29,2.03985775E-27,2.81816725E-29,2.65949952E-27,3.67423408E-29,4.08883825E-27,7.5319178E-29,3.97373851E-27,5.48992229E-29,2.73266000000000E-02
28,2.13402648E-27,2.94826622E-29,2.45697046E-27,3.84702069E-29,3.31741394E-27,3.36099602E-29,3.6174303E-27,3.99813156E-29,5.47015873E-27,5.5420223E-29,1.12408558E-26,1.24238527E-28,1.18467656E-26,1.0911273E-28,3.16522000000000E-02
29,5.98688179E-28,1.48881291E-29,6.6557847E-28,2.02296732E-29,9.78138411E-28,1.89188718E-29,1.14815219E-27,2.22072286E-29,2.07969581E-27,3.44784703E-29,5.90473173E-27,9.24537975E-29,7.43360656E-27,8.21592626E-29,2.81930000000000E-02
30,3.51236736E-27,3.55851036E-29,3.80890433E-27,5.26219491E-29,4.50816982E-27,4.15217767E-29,4.53314605E-27,4.1751814E-29,5.29663398E-27,5.85405606E-29,1.14182632E-26,1.36715917E-28,8.1733524E-27,8.28072839E-29,3.95111000000000E-02
31,7.92865395E-28,1.8986657E-29,8.6138979E-28,2.53878192E-29,1.20005128E-27,2.1000471E-29,1.23594744E-27,2.16286432E-29,1.62629665E-27,3.29532361E-29,2.35071286E-27,5.84573363E-29,1.96607499E-27,3.98380806E-29,4.92815000000000E-02
32,2.61336502E-27,3.36979752E-29,2.45019253E-27,4.2877499E-29,2.78483461E-27,3.33440555E-29,2.78740419E-27,3.59421139E-29,2.86022321E-27,4.21498044E-29,6.93745003E-27,9.58444092E-29,3.33579309E-27,5.53028075E-29,4.03269000000000E-02
33,8.97840903E-28,1.8192724E-29,1.00092053E-27,2.76564533E-29,1.25776591E-27,2.20104573E-29,1.28469465E-27,2.36649469E-29,1.58052028E-27,3.056997E-29,2.18776224E-27,5.23900852E-29,2.21207576E-27,4.27853372E-29,2.62437000000000E-02
34,4.0216075E-27,4.07444082E-29,3.76703153E-27,4.51043374E-29,4.0513454E-27,3.73142667E-29,4.15336037E-27,4.20792461E-29,4.29733981E-27,4.74959512E-29,1.35518923E-26,1.37299293E-28,5.61306196E-27,6.72076726E-29,3.80866000000000E-02
35,1.39829977E-27,2.44697509E-29,1.49830436E-27,3.17397528E-29,1.92486375E-27,2.83658395E-29,2.02115755E-27,2.97848767E-29,2.66685638E-27,4.42127763E-29,5.03964791E-27,8.81920456E-29,2.69401411E-27,4.96255663E-29,6.11082000000000E-02
36,1.26008531E-27,2.20510462E-29,1.65500611E-27,3.35349693E-29,1.72822515E-27,2.70598213E-29,1.93018837E-27,2.84443061E-29,2.39221087E-27,4.18628408E-29,2.99778141E-27,6.90264607E-29,2.08353091E-27,4.22180636E-29,2.80908000000000E-02
37,2.01372365E-27,2.59659141E-29,1.99159048E-27,3.66864467E-29,2.6375445E-27,3.15804874E-29,2.76949092E-27,3.31603368E-29,3.71534959E-27,4.79074893E-29,5.98686879E-27,9.37398673E-29,3.36977035E-27,5.58661119E-29,5.85671000000000E-02
38,3.30826231E-27,3.35172417E-29,3.56451153E-27,4.92455412E-29,4.39744002E-27,4.05019155E-29,4.54150574E-27,4.1828809E-29,5.59241754E-27,5.15080635E-29,9.7813845E-27,1.17116847E-28,8.75789987E-27,8.06632364E-29,3.74886000000000E-02
39,3.68807804E-27,4.07621418E-29,3.83354044E-27,4.94314957E-29,4.42181228E-27,4.07263917E-29,4.43812606E-27,4.08766503E-29,4.87978032E-27,4.94388775E-29,7.62780424E-27,1.05382E-28,5.89385022E-27,7.05696722E-29,4.25563000000000E-02
40,1.11789217E-27,2.36811849E-29,1.14182618E-27,2.73431797E-29,1.44277864E-27,2.25904195E-29,1.47366853E-27,2.44313768E-29,1.70608369E-27,2.98558593E-29,2.20596863E-27,5.48578455E-29,1.85524042E-27,3.93010049E-29,2.92675000000000E-02
41,1.82641522E-27,2.69150485E-29,2.07014127E-27,3.81334069E-29,2.94306324E-27,3.52385988E-29,3.09029384E-27,3.41551879E-29,4.46272404E-27,5.3434168E-29,7.46791662E-27,9.62948722E-29,6.19440815E-27,6.84631262E-29,5.16843000000000E-02
42,1.52475431E-27,2.387396E-29,1.63832216E-27,3.16879603E-29,2.02861417E-27,2.80263372E-29,2.0720514E-27,3.2443307E-29,2.40768379E-27,3.76984988E-29,3.77050745E-27,6.94553111E-29,2.05305153E-27,3.78186016E-29,6.10675000000000E-02
43,2.67423365E-27,3.44828398E-29,2.96483222E-27,4.36913819E-29,3.98473981E-27,4.03708861E-29,4.07005273E-27,4.12352254E-29,5.01648398E-27,5.54442249E-29,6.49829486E-27,8.97772545E-29,6.39734493E-27,6.48138922E-29,3.15115000000000E-02
44,8.97840903E-28,1.98466073E-29,1.01671729E-27,2.62200767E-29,1.33905855E-27,2.34330499E-29,1.40087541E-27,2.45148207E-29,1.79970103E-27,3.31517152E-29,2.67177443E-27,5.65982903E-29,2.53746374E-27,4.44047193E-29,4.20100000000000E-02
45,1.79970103E-27,2.98365458E-29,2.14387588E-27,3.75170672E-29,2.75676726E-27,3.30079927E-29,3.00884126E-27,3.87974314E-29,4.18793312E-27,4.6286741E-29,8.97015199E-27,1.15665406E-28,8.70161727E-27,8.81593409E-29,4.27456000000000E-02
46,4.28548494E-27,4.34178457E-29,4.64300918E-27,5.55927984E-29,5.8884295E-27,4.88109942E-29,6.24021255E-27,4.59795823E-29,7.87770136E-27,6.5300665E-29,1.51355892E-26,1.53344312E-28,1.15664473E-26,9.58778181E-29,2.84617000000000E-02
47,1.1324001E-27,2.19025555E-29,1.11995359E-27,2.6819399E-29,1.37784447E-27,2.28427479E-29,1.36898972E-27,2.39568367E-29,1.53179175E-27,2.82166461E-29,2.18977618E-27,5.44551757E-29,1.81970181E-27,3.85481619E-29,2.80637000000000E-02
48,2.59179095E-27,3.10326597E-29,2.8444641E-27,4.45374189E-29,3.72220128E-27,3.77110113E-29,3.89045244E-27,3.94156278E-29,5.10034629E-27,5.16735129E-29,8.07606598E-27,1.11574972E-28,8.03155157E-27,8.13706485E-29,4.12191000000000E-02
49,1.35394002E-27,2.36934688E-29,1.50106729E-27,3.1798283E-29,2.04361929E-27,2.82336425E-29,2.13009836E-27,2.94283931E-29,2.87342431E-27,3.96978187E-29,4.12666891E-27,7.98168443E-29,3.72906491E-27,5.83881292E-29,4.49153000000000E-02
50,1.06954632E-27,2.06868589E-29,1.17273659E-27,2.91635176E-29,1.5922074E-27,2.34636346E-29,1.72663202E-27,2.70348745E-29,2.51188431E-27,4.16435496E-29,4.47506925E-27,7.41904266E-29,4.90681536E-27,5.8751468E-29,4.00673000000000E-02
51,5.49033949E-28,1.56760466E-29,6.29215613E-28,2.14425712E-29,8.02416515E-28,1.69982156E-29,8.50354019E-28,1.95801248E-29,1.10968414E-27,2.55514209E-29,1.50938356E-27,4.58763885E-29,1.47231326E-27,3.52573164E-29,3.00325000000000E-02
52,2.17169883E-27,3.00031267E-29,2.49344661E-27,4.13378775E-29,3.32966016E-27,3.37340292E-29,3.44825623E-27,3.49355747E-29,4.3132037E-27,5.16438897E-29,5.8884295E-27,9.21985456E-29,5.59756555E-27,6.18665814E-29,2.83391000000000E-02
53,3.17102536E-27,3.50474653E-29,3.502678E-27,4.83912829E-29,4.28942963E-27,4.34578117E-29,4.51231943E-27,4.15599974E-29,5.86137673E-27,5.93837989E-29,1.11378308E-26,1.23099857E-28,1.00184179E-26,9.2273037E-29,2.93881000000000E-02
54,1.35768537E-27,2.37590106E-29,1.46960318E-27,3.24853044E-29,1.93731373E-27,2.49806445E-29,2.00447226E-27,2.95389957E-29,2.55387632E-27,3.52830998E-29,3.97373851E-27,7.68589108E-29,4.0926019E-27,6.03108092E-29,4.01550000000000E-02
55,1.70765429E-27,2.67377306E-29,1.81134154E-27,3.67027569E-29,2.53746374E-27,2.80450849E-29,2.67670135E-27,3.2049328E-29,3.70510018E-27,4.0950281E-29,6.35623211E-27,9.36688908E-29,6.02559231E-27,7.76968468E-29,4.44805000000000E-02
56,2.23872312E-27,2.88671621E-29,2.38781263E-27,3.95866203E-29,2.88668645E-27,2.92461008E-29,2.98950492E-27,3.57946629E-29,3.70851909E-27,4.44037383E-29,6.59478318E-27,9.71843088E-29,5.0675685E-27,7.00110382E-29,4.76183000000000E-02
57,1.5922074E-27,2.63965882E-29,1.63230016E-27,3.15714807E-29,2.2222855E-27,2.66084044E-29,2.31846239E-27,3.20307367E-29,3.13617219E-27,4.62163423E-29,4.85735055E-27,7.60543416E-29,5.19517291E-27,6.22041066E-29,3.76379000000000E-02
58,1.31340786E-27,2.29841713E-29,1.35768537E-27,3.25123336E-29,1.62929552E-27,2.40101864E-29,1.59661201E-27,2.35285445E-29,1.69980882E-27,3.13116336E-29,2.25735321E-27,5.40565804E-29,1.78484383E-27,3.78097453E-29,3.39519000000000E-02
59,7.17794235E-28,-999.0,7.46104827E-28,2.26772007E-29,1.06267297E-27,1.95751565E-29,1.13135615E-27,1.97983311E-29,1.55024418E-27,2.9984379E-29,2.37903019E-27,5.91615285E-29,2.42996006E-27,4.25234378E-29,2.34649000000000E-02
60,4.20339295E-27,4.25861479E-29,4.54150574E-27,5.43774523E-29,5.47015873E-27,4.53438147E-29,5.6027305E-27,4.64427444E-29,6.66805788E-27,6.14150772E-29,1.30737379E-26,1.32454917E-28,1.12305174E-26,9.30931882E-29,2.51678000000000E-02
61,1.91602046E-27,3.00002378E-29,2.00816869E-27,3.6991827E-29,2.3659175E-27,3.0507266E-29,2.34207237E-27,3.23569231E-29,2.50957415E-27,3.69824531E-29,4.0476195E-27,7.82878967E-29,3.01439641E-27,4.71981482E-29,4.10615000000000E-02
62,1.10357009E-27,2.0328511E-29,1.14921164E-27,2.75200373E-29,1.57761107E-27,2.47015712E-29,1.66264839E-27,-999.0,2.38341226E-27,3.73184677E-29,4.10392329E-27,7.18171934E-29,4.47506925E-27,5.35819771E-29,4.09113000000000E-02
63,1.61138764E-27,2.67145712E-29,1.73779991E-27,3.68131729E-29,2.13796173E-27,2.75678966E-29,2.12422215E-27,2.93472091E-29,2.31846239E-27,3.84368823E-29,3.30521973E-27,7.00170447E-29,2.30356263E-27,4.66765131E-29,4.09113000000000E-02
64,2.92684787E-27,3.5044444E-29,3.00330941E-27,4.70245527E-29,3.91200668E-27,3.60309083E-29,4.00313129E-27,4.05572198E-29,5.23358867E-27,5.78437531E-29,8.24897443E-27,1.06366198E-28,6.93745003E-27,7.66755322E-29,4.69801000000000E-02
65,2.46604043E-27,3.17982981E-29,2.79254449E-27,4.62965061E-29,3.69147307E-27,3.73996908E-29,3.89045244E-27,3.94156278E-29,5.01187022E-27,5.53932359E-29,8.9371793E-27,1.07008796E-28,5.98686879E-27,6.61693195E-29,4.78402000000000E-02
66,1.62629665E-27,2.54638633E-29,1.67957616E-27,3.40328282E-29,2.16570803E-27,2.59309766E-29,2.22638349E-27,2.66574734E-29,2.89467194E-27,4.53235534E-29,5.16178653E-27,8.08210784E-29,4.92038893E-27,6.34458379E-29,3.39886000000000E-02
67,1.35145075E-27,2.36499081E-29,1.58343489E-27,3.35431364E-29,2.29086574E-27,2.74295457E-29,2.49114782E-27,2.75331818E-29,3.64753374E-27,5.03925378E-29,5.6963931E-27,8.91917236E-29,6.09817791E-27,7.30161811E-29,3.19587000000000E-02
68,1.73940324E-27,2.88368919E-29,2.04550496E-27,3.76795946E-29,2.73653209E-27,3.02452673E-29,2.94849032E-27,3.53035778E-29,4.08883825E-27,5.27234216E-29,6.98232189E-27,9.646433E-29,5.02111237E-27,6.47446129E-29,5.12147000000000E-02
